LAMMPS data file via write_data, version 2 Aug 2023, timestep = 102194, units = real

10032 atoms
1 atom types

0.446181 161.482 xlo xhi
0.819034 161.82 ylo yhi
-40 40 zlo zhi

Masses

1 12.001 # C

Atoms # charge

954 1 1.356236257785137e-06 39.31968547943996 6.787733650813621 -0.4266636668604559 0 0 0
1405 1 -8.809672099041599e-07 38.51909216497437 4.37144100644362 -0.563523203061131 0 0 0
1246 1 2.801484729274273e-06 39.88562881159886 3.9290283386280063 -0.7203291330483702 0 0 0
318 1 -1.159252632401686e-06 40.202758344944044 2.53116606204924 -0.5793051382302913 0 0 0
39 1 3.919009827831055e-06 37.4893404054538 3.4237090076603396 -0.28817198821555196 0 0 0
151 1 1.27167089708502e-06 38.267204456918456 5.78623132008282 -0.36827439679153434 0 0 0
1404 1 -8.958598296873732e-07 37.891523503094795 2.003430723732591 -0.21850187510297572 0 0 0
1386 1 -6.015617770305237e-07 40.647016327326355 6.3480295698132405 -0.7484754097963847 0 0 0
1380 1 1.609531009374998e-07 39.22360026843246 1.5031072538573491 -0.19426929196634057 0 0 0
8403 1 4.774075517785525e-06 36.77739117098947 1.0832922202836337 -0.09726319853367053 0 0 0
121 1 5.671017382469223e-06 10.324821183101186 9.241512392004049 -0.0033569655133697893 0 0 0
7603 1 -3.619542622200489e-06 10.616926992517003 7.849259747862967 -0.025907022728102212 0 0 0
9442 1 4.261474581407354e-07 40.47442668591637 12.866075341190296 -0.42379387265803203 0 0 0
9597 1 1.757758740159043e-07 40.10896923540471 9.148818375687872 -0.3018584664962024 0 0 0
9897 1 -7.870606919258005e-07 39.182120338356775 13.353016796962299 -0.06267153034229846 0 0 0
9432 1 1.492597456700939e-06 39.03837467685208 8.176621745914137 -0.15433071654240568 0 0 0
9890 1 -5.111528979896696e-06 39.78706189987269 10.581111200563258 -0.12744219599719336 0 0 0
10031 1 1.767302725205755e-07 33.45691214992635 19.078362563996084 -0.002244239707097501 0 0 0
20 1 -5.680561497023451e-07 33.76287647895616 20.487347458706655 -0.19069839168498962 0 0 0
2148 1 1.381656017998556e-07 39.99753890564637 15.676449404761971 -0.44920812990572956 0 0 0
2466 1 -6.32233844888308e-07 35.23885235604421 20.60811067801528 -0.11235431098503802 0 0 0
1516 1 -1.027227973168787e-07 35.83188612197454 19.26899573680145 -0.01651412164067037 0 0 0
1082 1 -1.888200768830617e-06 40.24772192097025 17.058927229433674 -0.0708291898103647 0 0 0
1973 1 -1.557722071471312e-07 24.61866364504419 26.560170224534467 -0.05884231792020814 0 0 0
768 1 -3.896798759749076e-06 26.00573228175863 26.955761472235142 -0.32595344903480755 0 0 0
617 1 3.111660418407547e-06 27.013734488084157 25.95843752760236 -0.33832021719279 0 0 0
1700 1 2.796317204949161e-06 29.217546372908505 23.964058338527188 -0.3258038524785124 0 0 0
1374 1 -5.97589283606037e-07 29.45298488291619 25.37367482803686 -0.579920721474997 0 0 0
2012 1 7.389169459776079e-07 28.401669137021457 26.330354052031563 -0.5927083520975318 0 0 0
2274 1 -2.736182038498569e-06 30.47970470545061 23.27956240536273 -0.0409589187453809 0 0 0
1676 1 -3.154874049990375e-07 31.533904439614567 24.304097826528828 -0.007469022281519842 0 0 0
308 1 8.867120322095245e-07 30.883523035662773 25.588015535247695 -0.28226550374786535 0 0 0
1534 1 -1.435720760188663e-06 31.285948701630144 26.94635836446375 -0.06027807853125122 0 0 0
